strategy,run,latency,throughput,fairness,validators_used
FullParticipation,0,0.3149493670886077,3.16,0.7695890410958904,50.0
FullParticipation,1,0.2813785310734464,3.54,0.6978854625550661,50.0
FullParticipation,2,0.2979640718562873,3.34,0.8301176470588235,50.0
GreedyTrust,0,0.11856769596199548,8.42,0.07921533739602331,15.0
GreedyTrust,1,0.1260505050505045,7.92,0.07877495939022866,15.0
GreedyTrust,2,0.11856057007125881,8.42,0.0797652960673654,15.0
Random,0,0.3149493670886077,3.16,0.7695890410958904,50.0
Random,1,0.2813785310734464,3.54,0.6978854625550661,50.0
Random,2,0.2979640718562873,3.34,0.8301176470588235,50.0
RoundRobin,0,0.32731578947368434,3.04,0.9940127388535032,50.0
RoundRobin,1,0.2815536723163841,3.54,0.9809287925696595,50.0
RoundRobin,2,0.30463803680981577,3.26,0.9816058394160584,50.0
BalancedTrust,0,0.1800613718411555,5.54,0.287514880952381,50.0
BalancedTrust,1,0.16038263665594854,6.22,0.28902612826603324,50.0
BalancedTrust,2,0.1702559726962454,5.86,0.2908344549125168,50.0
NoUrgency,0,0.1681941094370233,5.94,0.550893300248139,15.0
NoUrgency,1,0.1304239710074472,7.6,0.722373724807166,15.0
NoUrgency,2,0.16845276680753207,5.92,0.7128,15.0
UTrust+ML,0,0.16606057841173202,6.0,0.6086731609002352,15.0
UTrust+ML,1,0.07839368125890775,10.0,0.6656017039403621,15.0
UTrust+ML,2,0.14603536425230512,6.84,0.640964314900572,15.0
